"Group.1" "Group.2" "CXQ_T_tpm" "GY_T_tpm" "HCM_T_tpm" "LGL_T_tpm" "MYP_T_tpm" "SMJ_T_tpm" "XB_T_tpm" "CXQ_N_tpm" "GY_N_tpm" "HCM_N_tpm" "LGL_N_tpm" "MYP_N_tpm" "SMJ_N_tpm" "XB_N_tpm"
"35358" "SVIL-AS1" "SVIL-AS1" 7.195 5.09 35.27 6.345 7.485 8.815 5.53 5.225 6.96 6.585 8.51 8.105 7.135 3.535
"35359" "SVIL2P" "SVIL2P" 0 0.02 0.21 0.13 0.14 0.02 0.25 0 0.02 0.07 0 0.49 0.02 0.02
"35360" "SVIP" "SVIP" 11.14 5.74 14.41 7.27 7.51 12.77 5.97 4.81 6.7 4.84 3.58 6.39 4.68 3.19
"35361" "SVOP" "SVOP" 0.02 0.26 0.03 0.04 0.04 0.01 0.01 0.13 0.02 0.12 0.14 0.15 0.09 0.03
"35362" "SVOPL" "SVOPL" 0 0.16 0 0.31 0.33 0 0.23 2.2 2.45 2.95 2.34 0.15 1.7 1.51
"35363" "SWAP70" "SWAP70" 18.63 15.64 17.64 9.99 20.37 16.88 10.22 6.74 12.31 8.89 7.59 14.86 7.51 4.93
"35364" "SWI5" "SWI5" 24.8 21.21 20.1 11.76 17.2 20.01 33.67 15.16 9.62 9.74 9.07 10.47 11.34 14.79
"35365" "SWINGN" "SWINGN" 0.01 0.04 0.09 0.01 0.04 0.06 0.02 0.02 0.02 0 0.01 0 0.02 0.02
"35366" "SWSAP1" "SWSAP1" 4.19 2.24 2.8 4.13 1.74 2.13 5.04 1.73 1.6 0.91 2.03 1.84 2 3.02
"35367" "SWT1" "SWT1" 1.4 1.42 2.5 1.2 2.97 2.32 1.16 2 1.47 3.09 2.07 2.37 1.72 0.95
"35368" "SYAP1" "SYAP1" 30.81 19.33 21.98 19.29 36.96 29.97 14.99 14.42 12.85 14.47 12.55 12.4 15.2 9.43
"35369" "SYBU" "SYBU" 23.59 17.67 16.36 22.02 23.96 33.3 10.21 22.79 15.15 13.67 12.57 12.29 14.01 4.65
"35370" "SYBU-AS1" "SYBU-AS1" 0.09 0.02 0 0 0.07 0.02 0 0.02 0 0.1 0 0 0.02 0
"35371" "SYCE1" "SYCE1" 0.11 0.08 0 0.08 0 0.38 0.15 0.25 0.15 0 0 0 0.73 0.6
"35372" "SYCE1L" "SYCE1L" 0.08 0.4 0.08 0 0 0 0.52 0 0 0.21 3.45 0 0.07 0.29
"35373" "SYCE2" "SYCE2" 0.87 1.22 1.2 0 0.13 0.36 0.31 0.21 0.36 0.17 0.28 0.46 0.34 0.36
"35374" "SYCE3" "SYCE3" 0.58 0.93 1.89 0 0 0.63 0 0 0 0 0.55 0 0.62 0.42
"35375" "SYCN" "SYCN" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"35376" "SYCP1" "SYCP1" 0.39 0.46 0 0 0 0 0 0 0 0 0 0 0 0
"35377" "SYCP2" "SYCP2" 0.5 0.35 0.67 0.09 2.13 0.37 0.14 0.43 0.39 0.65 0.21 0.57 0.99 0.09
"35378" "SYCP2L" "SYCP2L" 0.09 0.3 0.44 0.09 0.03 0.03 0.08 0.02 0.19 0.05 0.18 0.13 0.17 0.05
"35379" "SYCP3" "SYCP3" 0.05 0.1 0.09 0.22 0.07 0.45 0.03 0.54 0.16 0.31 0.26 0.74 0.24 0.48
"35380" "SYDE1" "SYDE1" 1.35 2.7 2.85 1.37 3.42 1.96 6.26 1.32 0.94 0.67 0.93 3.52 0.56 1.1
"35381" "SYDE2" "SYDE2" 2.22 0.82 2.75 2.59 1.22 0.6 1.37 0.73 1.12 0.94 0.86 2.28 0.83 0.15
"35382" "SYF2" "SYF2" 42.1 43.31 43.32 47.88 34.57 36.99 32.02 54.14 40.39 44.31 34.33 35.51 38.37 33.56
"35383" "SYF2P1" "SYF2P1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"35384" "SYF2P2" "SYF2P2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"35385" "SYK" "SYK" 32.11 20.79 20.41 42.95 38.54 22.36 31.3 16.5 22.33 17.48 22.71 29.83 19.86 14.83
"35386" "SYMPK" "SYMPK" 20.53 18.31 28.28 22.89 21.63 20.18 41.65 17.48 13.36 11.34 14.96 20.42 15.66 18.2
"35387" "SYN1" "SYN1" 3.37 2.23 6.96 2.16 1.66 4.19 0.48 1.02 0.14 0.75 0.13 0.8 1.35 0.56
"35388" "SYN2" "SYN2" 0.16 0.03 0.49 0.12 0.05 0.13 0.16 0.47 0.14 0.52 0.23 0.55 0.05 0.11
"35389" "SYN3" "SYN3" 0.22 9.71 4.05 1.05 2.62 0.37 4.13 0.58 0.12 1 3.47 0.34 0.44 0.2
"35390" "SYN3-AS1" "SYN3-AS1" 0 0 0 0 0 0 0 0 0 0 0 0 0.29 0
"35391" "SYNC" "SYNC" 0.72 2.66 5.87 2.62 2.79 4.11 2.43 4.04 2.61 4.46 3.42 3.84 2.36 1.16
"35392" "SYNCRIP" "SYNCRIP" 140.56 81.3 144.52 114.18 100.29 72.96 90.59 32.09 36.93 26.98 40.35 67.98 36.93 26.44
"35393" "SYNDIG1" "SYNDIG1" 0.4 2.55 2.11 1.39 0.44 2.11 2.94 0.62 0.84 0.46 0.36 0.76 0.15 0.41
"35394" "SYNDIG1L" "SYNDIG1L" 0 0 0 0 0.06 0 0.02 0 0 0.03 0.13 0.15 0 0
"35395" "SYNE1" "SYNE1" 3.75 8.14 16.72 5.71 11.98 7.72 9.08 8.82 10.41 9.48 7.9 21.7 8.47 6.46
"35396" "SYNE1-AS1" "SYNE1-AS1" 0 0 0.21 0 0 0 0 0 0 0 0 0 0 0
"35397" "SYNE2" "SYNE2" 47.36 12.69 28.63 50.22 29.42 19.73 16.3 27.94 38.96 39.1 56.12 48.81 38.69 11.82
"35398" "SYNE3" "SYNE3" 0.16 0.82 0.98 0.6 1.53 0.74 1.2 0.61 0.93 1.32 0.94 1.73 1.17 0.49
"35399" "SYNE4" "SYNE4" 6.33 0.11 9.67 3.63 2.53 0.11 1.04 1.59 1 0.87 0.38 0.7 0.42 1.78
"35400" "SYNGAP1" "SYNGAP1" 2.63 2.57 4.21 4.93 4.88 1.63 5.28 1.36 2.05 1.88 2.01 3.8 1.48 0.83
"35401" "SYNGAP1-AS1" "SYNGAP1-AS1" 0.36 0 0 0.26 0.8 0 0.35 1.12 0 1.38 0 0 1.39 0
"35402" "SYNGR1" "SYNGR1" 0.71 0.66 2.3 0.38 0.86 0.72 2.03 2.31 0.82 0.94 1.74 2.94 1.63 2.13
"35403" "SYNGR2" "SYNGR2" 92.43 118.53 52.75 119.37 124.95 104.25 176.49 103.76 49.3 50.11 67.45 117.53 86.11 137
"35404" "SYNGR2P1" "SYNGR2P1" 0 0.15 0 0 0 0 0 0 0 0 0.13 0 0.14 0
"35405" "SYNGR3" "SYNGR3" 0.38 0.67 0.57 0.21 0.87 0.47 0.78 0.65 0.19 0.26 0.4 1.01 0.29 0.26
"35406" "SYNGR4" "SYNGR4" 0 0.08 0.08 0.16 0 0 0.26 0.26 0 0 0 0.59 0 0
"35407" "SYNJ1" "SYNJ1" 2.67 3.49 3.31 3.29 5.94 2.65 2.91 2.55 4.43 4.21 3.67 5.22 4.18 1.48
"35408" "SYNJ2" "SYNJ2" 14.35 7.81 9.43 11 14.35 6.35 10.98 6.63 6.54 7 5.68 7.45 8.66 3.57
"35409" "SYNJ2-IT1" "SYNJ2-IT1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"35410" "SYNJ2BP" "SYNJ2BP" 15.14 12.71 12.71 13.26 6.6 11.52 8.65 10.33 14.85 12.41 12.99 16.52 14.3 8.28
"35411" "SYNJ2BP-COX16" "SYNJ2BP-COX16" 3.17 0.96 0.03 0.46 0.41 0.48 0.9 1.53 0 0.62 0.73 0.63 0.58 0.77
"35412" "SYNM" "SYNM" 1.48 1.57 70.91 1.14 4.97 1.12 2.07 5.33 6.14 2.36 2.95 85.44 2.79 2.5
"35413" "SYNM-AS1" "SYNM-AS1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"35414" "SYNM-AS2" "SYNM-AS2" 0 0 0.42 0 0.08 0 0.09 0.1 0.16 0 0.22 0.52 0 0
"35415" "SYNPO" "SYNPO" 5.24 9.25 14.5 9.54 13.83 6.82 13.6 7.9 17.98 15.93 16.53 13 13.69 8.37
"35416" "SYNPO2" "SYNPO2" 3.74 2.87 49.09 2.06 7.42 1.3 3.79 8.54 12.38 4.82 5.35 70.72 3.52 3.66
"35417" "SYNPO2L" "SYNPO2L" 0.02 0.12 0 0.07 0.03 0 0.25 0 0 0.05 0.03 0.02 0 0.01
"35418" "SYNPO2L-AS1" "SYNPO2L-AS1" 0 0 0 0 0.03 0 0 0.03 0 0.03 0 0 0 0
"35419" "SYNPR" "SYNPR" 10.74 4.38 0.28 0.52 0 0.48 0.07 0.25 0.23 0.03 0.05 0.21 0.05 0.02
"35420" "SYNPR-AS1" "SYNPR-AS1" 0.2 0 0 0 0 0 0 0 0.2 0 0 0 0 0.15
"35421" "SYNRG" "SYNRG" 13 6.54 10.8 13.75 12.66 9.78 7.42 6.37 10.25 13.17 12.59 13.63 12.38 4.91
"35422" "SYP" "SYP" 1.99 0.64 1.62 0.22 1.58 0.49 1.19 3.86 1.48 1.57 2.81 4.28 2.34 2.92
"35423" "SYP-AS1" "SYP-AS1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"35424" "SYPL1" "SYPL1" 118.74 94.1 74.56 106.84 105.68 99.07 62.87 48.52 57.58 44.8 51.37 72.57 56.02 34.5
"35425" "SYPL1P1" "SYPL1P1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"35426" "SYPL1P2" "SYPL1P2" 0 0.13 0.67 0.27 0 0.25 0.11 0 0.12 0 0.24 0 0.12 0
"35427" "SYPL2" "SYPL2" 0.16 0.49 0.61 0.31 0.5 0.47 0.19 0.17 0.47 0.07 0.1 0.37 0.29 0.13
"35428" "SYS1" "SYS1" 25.48 11.7 21.77 11.87 23.83 16.43 18.1 11.26 10.1 12.46 8.54 14.17 12 11.62
"35429" "SYS1-DBNDD2" "SYS1-DBNDD2" 1.81 0.87 0.68 1.17 0.47 0.35 2.49 0.69 0 0.2 0 1.62 0.82 0.31
"35430" "SYT1" "SYT1" 0.67 0.45 5.62 0.14 2.82 0.37 0.89 1.07 0.55 0.67 0.71 2.47 0.84 0.19
"35431" "SYT10" "SYT10" 0 0 0.02 0 0 0 0.02 0.04 0.12 0.11 0.25 0.81 0.09 0.06
"35432" "SYT11" "SYT11" 1.97 4.43 7.53 2.69 6.28 5.16 3.42 2.34 3.2 2.17 1.77 5.65 1.99 1.43
"35433" "SYT12" "SYT12" 0.03 0.53 0.24 0.52 0.29 0.18 0.09 0 0.01 0 0.02 0.01 0.15 0.04
"35434" "SYT13" "SYT13" 17.9 9.08 7.97 5.23 3.56 24.68 7.87 17.1 14.18 8.23 14.03 7.74 10.55 7.17
"35435" "SYT14" "SYT14" 0.01 0.02 0.15 0 0.02 0.03 0.06 0.05 0.01 0.01 0.02 0.06 0 0
"35436" "SYT14P1" "SYT14P1" 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0
"35437" "SYT15" "SYT15" 0.7 0.45 0.98 0.73 0.26 0.14 0.75 1.13 0.99 0.93 0.45 0.53 0.57 0.43
"35438" "SYT15-AS1" "SYT15-AS1" 0.1 0.05 0.03 0.05 0.25 0.85 0.14 0 0.14 0.05 0.02 0.29 0.8 0.1
"35439" "SYT15B" "SYT15B" 0.11 0.19 0.37 0.21 0.21 0.4 0.29 0.29 0.51 0.53 0.39 0.45 0.42 0.23
"35440" "SYT16" "SYT16" 0.01 0.01 0.01 0.01 0.01 0 0.11 0 0.01 0 0 0.04 0 0.18
"35441" "SYT17" "SYT17" 1.32 2.08 2.77 0.89 0.64 2.86 1.13 2.36 3.92 1.8 1.96 1.91 2.09 0.94
"35442" "SYT2" "SYT2" 0.06 0.03 0.11 0.03 0.08 0.03 0.18 0.06 0.12 0.25 0.1 0.15 0.14 0.03
"35443" "SYT3" "SYT3" 0.09 0.11 0.14 0.03 0.11 0 0.02 0.02 0 0 0 0.18 0 0.02
"35444" "SYT4" "SYT4" 0 0 1.2 0 0.18 0.03 0.09 0.42 0.04 0.32 0.43 0.79 0.11 0.14
"35445" "SYT5" "SYT5" 0.46 1.61 0.26 0.02 0.09 0.03 0.47 1.65 0.08 0.08 0.21 0.27 0.14 0.04
"35446" "SYT6" "SYT6" 0.11 0 0.04 0 0.1 0 0.09 0.06 0.15 0.03 0.33 0.08 0 0.01
"35447" "SYT7" "SYT7" 11.96 1.67 5.64 4.52 14.82 1.49 6.28 2.66 4.43 2.9 2.59 3.08 3.17 2.15
"35448" "SYT8" "SYT8" 0.21 0 0.7 0.08 0.02 0.32 0.49 0.04 0 0.4 0.05 0 1.53 0.11
"35449" "SYT9" "SYT9" 0.02 0.06 0.2 0.02 0.02 0 0.02 0 0 0.08 0.06 0.08 0 0
"35450" "SYT9-AS1" "SYT9-AS1" 0.55 0.6 1.86 0.43 1.21 0.24 0.96 1.29 0.78 1.51 1.65 1.6 1.85 0.52
"35451" "SYTL1" "SYTL1" 0.97 4.24 2.72 7.16 3.89 3.01 9.45 3.43 1.02 2.34 2.42 4.52 4.37 3.79
"35452" "SYTL2" "SYTL2" 28.79 33.64 33.3 29.52 22.67 39.21 36.01 75.98 93.52 130.28 75.63 80.78 91.43 32.25
"35453" "SYTL3" "SYTL3" 1.76 1.52 2.81 1.47 3.28 4.1 1.86 1.73 1.49 2.76 1.47 3.21 1.74 1.77
"35454" "SYTL4" "SYTL4" 5.28 6.49 6.77 3.77 3.96 3.81 3.25 8.41 8.85 12.75 6.08 14.3 6.68 6.17
"35455" "SYTL5" "SYTL5" 0.65 1.69 1.23 1.36 0.35 1.3 1.61 3.33 7 6.33 3.25 3.77 3.61 2.91
"35456" "SYVN1" "SYVN1" 35.64 19.55 19.68 21.49 22.83 27.11 29.65 18.77 21.8 20.14 24.85 27.49 17.44 19.01
"35457" "SZRD1" "SZRD1" 42.38 49.5 45.74 62.83 57.92 36.04 59.42 38.7 30.54 33.04 41.59 49.49 40.72 34.22
"35458" "SZT2" "SZT2" 5.66 4.09 8.07 5.82 6.1 3.41 6.85 5.4 5.99 7.45 7.3 9.19 9.18 4.56
"35459" "SZT2-AS1" "SZT2-AS1" 0 0 0 0 0 0 0 0 0 0.13 0 0 0 0
"35460" "TAAR1" "TAAR1" 0 0 0 0 0 0.02 0 0 0 0 0 0 0 0
"35461" "TAAR2" "TAAR2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"35462" "TAAR3P" "TAAR3P" 0 0 0 0 0 0.04 0 0 0 0 0 0 0 0.11
"35463" "TAAR4P" "TAAR4P" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"35464" "TAAR5" "TAAR5" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"35465" "TAAR6" "TAAR6" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"35466" "TAAR7P" "TAAR7P" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"35467" "TAAR8" "TAAR8" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"35468" "TAAR9" "TAAR9" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"35469" "TAB1" "TAB1" 5.23 5.8 5.87 6.55 6.58 4.39 9.76 8.6 3.8 4.82 4.82 7.35 5.11 4.14
"35470" "TAB2" "TAB2" 42.19 16.38 34.87 30.53 29.41 25.58 27.7 26.26 36.47 31.72 33.28 41.48 26.79 12.64
"35471" "TAB2-AS1" "TAB2-AS1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"35472" "TAB3" "TAB3" 16.6 4.52 15.43 6.39 15.47 7.22 6.51 5 6.82 6.47 5.9 7.31 6.49 2.12
"35473" "TAB3-AS1" "TAB3-AS1" 0 0 2 0 0 0 0 0 0 0 0 0 0 0
"35474" "TAB3-AS2" "TAB3-AS2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"35475" "TAB3P1" "TAB3P1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"35476" "TAC1" "TAC1" 10.13 1.23 18.98 0.26 9.73 1.26 0.39 0.86 3.39 0.35 0.7 1.83 0.6 0.17
"35477" "TAC3" "TAC3" 0.55 0.77 5.78 0 0.29 0 0.87 0.16 3.4 0.72 0.35 0.85 0.7 1.43
"35478" "TAC4" "TAC4" 0 0 0 0 0.22 0 0.35 0 0 0.83 0 0 0 0
"35479" "TACC1" "TACC1" 15.48 15.35 77.58 32.81 43.42 17.23 16.21 19.24 27.31 23.25 27.14 46.54 22.95 8.23
"35480" "TACC1P1" "TACC1P1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"35481" "TACC2" "TACC2" 29.65 23.35 38.19 38.73 27.04 18.51 30.64 23.92 26.62 42.29 30.66 29.06 30.18 21.63
"35482" "TACC3" "TACC3" 25.79 28.49 18.1 27.1 30.05 32.24 25.72 9.15 8.47 7.54 9.51 14.17 14.83 11.84
"35483" "TACO1" "TACO1" 16.71 26.28 14.12 28.36 21.53 29.74 17.47 23.8 19.35 24.43 26.24 16.61 25.14 24.3
"35484" "TACR1" "TACR1" 0.01 0 0.37 0.08 0.11 0.03 0.15 0.06 0.07 0.15 0.05 0.23 0.09 0.05
"35485" "TACR2" "TACR2" 0.5 0.12 12.05 0.21 0.21 0.48 0.26 0.45 0.69 0.57 0.51 9.4 0.3 0.24
"35486" "TACR3" "TACR3" 0 0 0 0 0 0 0 0.03 0 0.01 0.02 0 0.02 0
"35487" "TACR3-AS1" "TACR3-AS1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"35488" "TACSTD2" "TACSTD2" 1.36 8.58 4.62 7.6 13 0.42 51.92 0.7 1.02 0.36 0.11 0.86 0.54 0.71
"35489" "TADA1" "TADA1" 10.03 10.66 11.36 10.85 9.45 12.52 6.36 7.27 9.05 6.4 7.83 9.13 6.85 3.61
"35490" "TADA2A" "TADA2A" 9.92 10.22 11.55 12.46 12.3 7.5 7.2 6.98 10.68 7.79 7.74 10.53 8.35 5.72
"35491" "TADA2B" "TADA2B" 10.73 10.49 9.32 9.44 8.57 9.15 7.51 9.79 9.6 10.32 10.82 12.79 9.76 5.05
"35492" "TADA3" "TADA3" 37.99 37.6 31.63 39.22 31.61 36.76 36.26 38.15 26.34 30.55 34.05 34.64 39.99 40.73
"35493" "TAF1" "TAF1" 22.11 11.55 34 14.5 12.76 14.05 11.7 9.15 11.7 12.05 10.18 15.46 11.52 5.39
"35494" "TAF10" "TAF10" 66.06 53.16 84.25 61.38 65 71.53 52.48 58 33.51 45.06 39.99 37.05 57.73 85.84
"35495" "TAF11" "TAF11" 30.17 18.44 24.2 15.6 21.13 11.76 19.77 17.3 18.07 16.55 15.04 17.59 17.34 13.72
"35496" "TAF11L10" "TAF11L10" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"35497" "TAF11L11" "TAF11L11" 0.13 0 0 0 0 0 0 0 0 0 0 0 0 0
"35498" "TAF11L12" "TAF11L12" 0 0 0 0 0 0.29 0 0 0 0 0 0 0 0
"35499" "TAF11L13" "TAF11L13" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"35500" "TAF11L14" "TAF11L14" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"35501" "TAF11L2" "TAF11L2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"35502" "TAF11L3" "TAF11L3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"35503" "TAF11L4" "TAF11L4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"35504" "TAF11L5" "TAF11L5" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"35505" "TAF11L6" "TAF11L6" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"35506" "TAF11L7" "TAF11L7" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"35507" "TAF11L8" "TAF11L8" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"35508" "TAF11L9" "TAF11L9" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"35509" "TAF12" "TAF12" 19.81 20.7 22.07 27.05 26.38 19.3 18.92 16.91 16.9 15.68 14.16 16.38 19.29 14.29
"35510" "TAF12-DT" "TAF12-DT" 0 1 0.17 0 0 0.33 0.15 0.38 0.14 0.16 0.15 0.14 0.42 0.24
"35511" "TAF13" "TAF13" 25.12 33.55 22.18 31.59 38.03 25.98 31.41 27 25.58 20.42 21.91 28.59 23.54 19.77
"35512" "TAF13P2" "TAF13P2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"35513" "TAF15" "TAF15" 130.75 119.23 119.6 165.9 120.15 118.63 73.17 85.99 75.37 63.49 85.71 91.99 78.33 79.68
"35514" "TAF1A" "TAF1A" 7.93 7.96 8.56 6.11 6.23 7.31 6.7 2.41 2.43 1.73 2.71 5.3 2.16 1.28
"35515" "TAF1A-AS1" "TAF1A-AS1" 0.89 1.49 1.33 0.95 0.42 0.73 0.47 1.56 1.34 2.11 0.86 0.73 0.59 0.54
"35516" "TAF1B" "TAF1B" 10.61 5.62 9.75 8.72 12.03 8.78 4.31 3.45 3.4 4.89 3.73 4.71 4.78 1.37
"35517" "TAF1C" "TAF1C" 9.37 5.18 17.81 7.89 9.61 4.89 17.37 4.95 6.46 7.36 6.6 7.86 8.73 4
"35518" "TAF1D" "TAF1D" 83.24 59.81 120.43 60.23 106.92 113.81 60.32 36.14 40.65 31.26 26.33 43.19 44.02 32.88
"35519" "TAF1L" "TAF1L" 0.01 0 0 0 0 0 0 0.01 0 0 0 0.01 0 0
"35520" "TAF2" "TAF2" 15.57 11.3 20.7 11.52 23.37 13.05 10.68 6.04 7.38 7.92 6.69 11.28 9.24 3.37
"35521" "TAF3" "TAF3" 1.91 3.07 3.71 3.3 2.99 3.53 3.18 1.81 2.1 2.33 2.64 3.66 1.84 1.34
"35522" "TAF4" "TAF4" 15.44 6.77 12.41 7.86 16.96 8.26 10.02 5.75 6.08 5.28 5.84 7.64 5.19 2.62
"35523" "TAF4B" "TAF4B" 1.45 2.14 4.35 2.77 4.42 3.9 2.45 1.32 1.82 1.3 1.85 3.32 1.81 0.74
"35524" "TAF5" "TAF5" 4.37 2.94 5.32 4.4 4.58 4.03 4.26 2.82 3.64 3.07 2.59 4.23 3.62 2.67
"35525" "TAF5L" "TAF5L" 15.26 10.18 14.54 16.29 13.74 13.09 11.8 9.92 10.68 8.43 10.95 12.85 9.82 6.31
"35526" "TAF5LP1" "TAF5LP1" 0.26 1.1 1.17 0.27 0.36 1.96 0.67 1.78 1.61 1.37 1.11 1.58 0.81 1.77
"35527" "TAF6" "TAF6" 12.96 15.1 17.37 16.23 20.37 14.66 25.16 10.49 8.5 7.57 10.15 14.06 10.24 6.77
"35528" "TAF6L" "TAF6L" 6.79 6.03 5.26 6.47 5.38 5.74 9.54 7.07 3.36 4.26 3.73 6.35 8.83 4.97
"35529" "TAF7" "TAF7" 80.23 54.53 86.37 54.33 42.63 67.23 34.58 52.17 52.85 53.16 41.07 54.68 51.44 31.03
"35530" "TAF7L" "TAF7L" 0.31 0 0.1 0 0 0.06 0.03 0 0 0.03 0 0.09 0 0.07
"35531" "TAF8" "TAF8" 12.11 8.6 10.28 9.42 11.63 10.14 16.17 7.64 5.63 8.15 7.54 9.88 8.53 6.59
"35532" "TAF9" "TAF9" 98.71 31.79 66.71 66.71 72.4 49.48 61.61 45.02 36.52 27.75 44.06 47.49 34.13 32.36
"35533" "TAF9B" "TAF9B" 8.94 7.26 18.17 4.02 7.4 6.18 4.74 4.13 5.05 3.88 3.47 6.82 3.64 2.69
"35534" "TAF9BP1" "TAF9BP1" 0.12 0 0 0 0 0.24 0 0 0.24 0.12 0 0 0 0
"35535" "TAF9BP2" "TAF9BP2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"35536" "TAF9P1" "TAF9P1" 0 0 0 0 0 0 0.32 0 0 0 0 0 0 0
"35537" "TAF9P2" "TAF9P2" 0 0 0 0 0 0 0.32 0 0 0 0 0 0 0
"35538" "TAF9P3" "TAF9P3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"35539" "TAFA1" "TAFA1" 0.15 1.34 0.27 0.56 0.07 0.68 0.83 0.28 0.13 0.07 0.13 0.2 0.03 0.03
"35540" "TAFA2" "TAFA2" 0.45 1.77 1.59 1.1 4.39 0.66 0.04 0.76 0.66 2.05 0.69 0.75 0.75 0.2
"35541" "TAFA3" "TAFA3" 0.06 0.06 0 0 0 0 0 0.1 0.05 0 0 0 0.11 0.07
"35542" "TAFA4" "TAFA4" 0 0 0.06 0 0 0 0 0 0 0 0 0.28 0 0
"35543" "TAFA5" "TAFA5" 0.48 0.59 1.99 0.55 0.59 0.53 1.6 0.17 0.17 0.21 0.24 0.46 0.07 0.28
"35544" "TAFAZZIN" "TAFAZZIN" 19.27 16.7 28.54 12.68 14.99 20.05 24.4 12.15 11.55 10.93 12.72 15.75 13.39 12.71
"35545" "TAGAP" "TAGAP" 1.12 2.16 3.97 2.05 39.55 25.71 3.17 2.82 4.37 5.29 4.04 8.47 4.61 2.64
"35546" "TAGAP-AS1" "TAGAP-AS1" 0.47 0.38 0.59 0.62 6.09 1.98 0.55 0.77 0.83 1.01 1.39 1.34 0.88 0.39
"35547" "TAGLN" "TAGLN" 177.77 317.21 1126.65 159.32 310.3 195.76 184.52 172.2 290.82 93.85 85.97 701.48 86.41 175.96
"35548" "TAGLN2" "TAGLN2" 328.83 635.12 272.15 613.99 611.92 515.49 735.91 234.26 246.8 219.64 264.2 273.45 308.34 303.6
"35549" "TAGLN2P1" "TAGLN2P1" 0 0 0 0.38 0.39 0 0 0 0 0.17 0 0.39 0 0
"35550" "TAGLN3" "TAGLN3" 0 0.31 0.93 0 0.67 1.03 0.06 1.09 0.06 0.37 0.25 2.36 0.31 0.57
"35551" "TAL1" "TAL1" 0.23 0.4 1 0.2 0.98 0.1 0.62 0.46 0.74 0.5 0.46 0.49 0.21 0.38
"35552" "TAL2" "TAL2" 0 0 0 0 0 0 0 0 0 0 0.14 0.3 0 0
"35553" "TALAM1" "TALAM1" 69.91 53.17 65.31 38.8 170.35 45.56 18.32 39.29 117.28 118.14 58.88 88.79 79.8 25.45
"35554" "TALDO1" "TALDO1" 201.99 163.06 206.58 188.88 228.34 135.52 243.7 116.46 73.26 87.02 97.93 110.98 115.05 150.33
"35555" "TAMALIN" "TAMALIN" 2.26 3.17 6.49 1.12 6.74 3.15 6.02 3.36 1.85 2.68 2.35 4.83 3.02 3.11
"35556" "TAMM41" "TAMM41" 13.28 10.38 11.9 12.25 9.98 11.86 8.57 5.08 3.93 6.2 6.1 7.34 6.05 4.98
"35557" "TANC1" "TANC1" 12.77 12.14 9.65 11.35 12 8.83 9.21 6.25 7.98 7.18 6.65 11.3 8.4 3.51
"35558" "TANC2" "TANC2" 1.66 2.54 3.2 2.55 1.82 1.06 1.1 0.77 3.48 1.88 1.25 3.06 2.23 0.47
"35559" "TANGO2" "TANGO2" 10.95 12.85 11.18 12.78 16.11 10.77 18.07 15.72 14.72 15.74 14.79 11.9 12.71 12.13
"35560" "TANGO6" "TANGO6" 2.93 4.96 4.33 4.71 4.75 4.35 2.91 1.74 1.81 1.49 2.29 3.36 1.87 1.28
"35561" "TANK" "TANK" 41.76 24.14 37 24.21 56.57 49.87 20.75 29.54 23.63 24.09 22.04 33.65 28.87 14.6
"35562" "TANK-AS1" "TANK-AS1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"35563" "TAOK1" "TAOK1" 11.6 6.24 11.35 11.47 13.49 8.39 5.98 2.94 5.17 5.89 5.67 10.85 5.53 1.48
